ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,22.7403,26.02995,0
1,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,33.42826,26.09106,0
2,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,33.55962,26.50855,0
3,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,33.6202,26.55875,0
4,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,33.68637,26.63628,0
5,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,40.90715,26.74074,0
6,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,40.94366,26.78324,0
7,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,40.99957,27.35714,0
8,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,41.06001,27.06557,0
9,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,48.30122,26.47733,0
10,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,48.36526,25.87012,0
11,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,44.25938,38.28708,0
12,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,43.9008,28.87147,0
13,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,51.18279,28.95967,0
14,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,51.31024,29.05126,0
15,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,45.71001,31.75732,0
16,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,39.9593,31.08528,0
17,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,47.2639,30.59527,0
18,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,47.33659,30.61428,0
19,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,47.41875,30.6514,0
