ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.05448,22.44884,0
1,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.78436,31.03709,0
2,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.92691,25.95514,0
3,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,30.76359,28.43543,0
4,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,30.95734,28.09547,0
5,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,31.08079,28.025,0
6,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,36.81434,27.94915,0
7,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,36.86558,27.84459,0
8,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,36.89792,27.73698,0
9,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,37.03407,27.52623,0
10,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,41.45907,26.96758,0
11,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,41.64907,29.21286,0
12,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,41.79954,25.10129,0
13,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,46.42691,30.80872,0
14,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,46.42655,25.95246,0
15,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,46.49715,28.27172,0
16,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,46.59629,27.935,0
17,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,46.46054,27.89599,0
18,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,46.57896,27.81734,0
19,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,46.65688,27.70894,0
