ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,23.84108,22.42222,23.84971
1,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.56814,23.09499,24.60381
2,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.66695,23.09428,24.6502
3,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.77947,23.09745,24.71713
4,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,24.86169,23.09273,24.84474
5,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.98391,23.11819,24.88427
6,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.08163,23.09574,24.94842
7,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.12473,23.11663,24.99892
8,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.25643,23.11187,25.12247
9,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.29592,23.11318,25.16067
10,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.35912,23.09057,25.24381
11,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.40044,23.11906,25.33558
12,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.45885,23.11582,25.45557
13,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.52276,23.11462,25.56955
14,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.65762,23.11408,25.69565
15,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.78045,23.11182,25.77266
16,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.83691,23.11336,25.90341
17,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.93863,23.11023,25.97461
18,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,26.06219,23.09369,26.05879
19,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,26.13828,23.11328,26.13505
