ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(42.9, 7.3, -238.6),(-75.8, 7.3, -217.3),NonCAV,0,93.66959,92.80408,0
1,(-19.2, 7.3, -49.6),(-8.0, 7.3, -42.0),CAV,0,0,0,0,0
2,(-10.6, 7.3, -122.2),(-31.5, 7.3, -243.5),NonCAV,0,146.7568,151.4852,0
3,(-44.7, 7.3, -238.0),(-7.6, 7.3, -38.8),CAV,0,104.8163,106.1254,0
4,(45.6, 7.3, -33.9),(-84.9, 7.3, -43.9),NonCAV,0,84.94199,88.76329,0
5,(213.1, 7.3, 220.6),(-136.9, 7.3, -191.2),NonCAV,0,0,0,0,0
6,(-20.5, 7.3, -158.6),(-86.1, 7.3, -213.5),NonCAV,0,135.9188,134.2164,0
7,(-114.6, 7.3, -46.6),(-72.7, 7.3, -47.7),CAV,0,30.57112,30.23916,0
8,(98.5, 7.3, -77.1),(-15.4, 7.3, 211.0),CAV,0,248.7854,246.6073,0
9,(-112.6, 7.3, -238.9),(221.6, 7.3, -200.0),NonCAV,0,189.137,189.9261,0
10,(28.2, 7.3, 213.5),(40.2, 7.3, -240.6),CAV,0,240.1614,238.8622,0
11,(-139.4, 7.3, -193.7),(-138.0, 7.3, -55.7),NonCAV,0,220.2262,218.7045,0
12,(-68.8, 7.3, -211.3),(-71.9, 7.3, -42.8),CAV,0,0,0,0,0
13,(221.2, 7.3, 213.4),(-75.8, 7.3, -217.3),CAV,0,287.6704,285.9627,0
14,(-137.0, 7.3, 131.1),(-75.8, 7.3, -217.3),CAV,0,248.827,246.6554,0
15,(-109.1, 7.3, -51.6),(-72.7, 7.3, -47.7),CAV,0,13.10443,34.91927,0
16,(222.0, 7.3, 210.5),(-82.2, 7.3, -211.8),CAV,0,289.282,287.0324,0
17,(-115.1, 7.3, -205.8),(50.7, 7.3, -222.0),CAV,0,159.8931,147.4897,0
18,(220.9, 7.3, 214.6),(-24.5, 7.3, -147.7),CAV,0,254.7341,256.0309,0
19,(-101.0, 7.3, -51.1),(50.7, 7.3, -222.0),NonCAV,0,148.1371,140.6013,0
20,(-152.4, 7.3, -83.1),(-12.9, 7.3, -149.3),CAV,0,170.4168,168.7491,0
21,(221.6, 7.3, 212.0),(108.7, 7.3, -31.0),CAV,0,263.8128,255.4736,0
22,(-46.1, 7.3, -237.4),(223.1, 7.3, 206.6),NonCAV,0,290.4231,286.8145,0
23,(-8.0, 7.3, 70.2),(208.9, 7.3, 222.4),NonCAV,0,428.6357,425.2012,0
24,(42.0, 7.3, -239.3),(-7.6, 7.3, -38.8),CAV,0,120.818,120.0453,0
25,(64.0, 7.3, -208.0),(95.3, 7.3, -29.3),CAV,0,167.2438,152.5251,0
26,(-109.7, 7.3, -247.0),(95.3, 7.3, -29.3),CAV,0,149.0901,141.1108,0
27,(-114.3, 7.3, -240.3),(50.7, 7.3, -222.0),CAV,0,158.168,150.9391,0
28,(-136.9, 7.3, 138.4),(-101.0, 7.3, -86.3),NonCAV,0,239.6897,238.6042,0
29,(-109.4, 7.3, -246.8),(-82.7, 7.3, -51.6),NonCAV,0,129.9011,128.1106,0
30,(-99.0, 7.3, -86.9),(-146.8, 7.3, -54.6),NonCAV,0,54.68767,53.98853,0
31,(55.1, 7.3, -27.4),(-0.3, 7.3, 225.0),NonCAV,1,220.7847,0,0
32,(184.5, 7.3, 208.3),(-7.6, 7.3, -38.8),NonCAV,0,329.0864,327.7069,0
33,(-124.3, 7.3, -252.9),(-21.2, 7.3, -30.6),NonCAV,0,283.5047,284.0277,0
34,(214.2, 7.3, 220.1),(98.6, 7.3, -164.8),NonCAV,0,207.9735,187.9851,0
35,(-18.5, 7.3, 78.8),(98.5, 7.3, -20.7),CAV,0,311.8258,301.372,0
36,(109.5, 7.3, -108.2),(-82.7, 7.3, -51.6),CAV,0,104.0224,102.511,0
37,(215.2, 7.3, 219.7),(114.4, 7.3, -167.6),CAV,0,295.6853,308.6789,0
38,(46.4, 7.3, -244.6),(209.0, 7.3, 207.4),NonCAV,0,225.5921,223.9507,0
39,(-96.9, 7.3, -87.4),(-24.5, 7.3, -147.7),CAV,0,89.69984,89.74958,0
40,(-112.9, 7.3, -46.5),(-10.6, 7.3, -29.0),NonCAV,0,61.11012,60.2048,0
41,(71.8, 7.3, 212.5),(-136.9, 7.3, -191.2),NonCAV,0,265.2019,263.9083,0
42,(53.0, 7.3, 212.9),(-138.0, 7.3, -55.7),NonCAV,0,0,0,0,0
43,(-9.6, 7.3, -109.7),(110.4, 7.3, 205.8),NonCAV,0,188.4829,155.4023,0
44,(-38.8, 7.3, -165.8),(209.0, 7.3, 207.4),CAV,0,281.6102,278.6364,0
45,(-20.4, 7.3, -158.6),(102.0, 7.3, -178.9),CAV,0,196.1777,194.0541,0
46,(-32.5, 7.3, -245.5),(108.7, 7.3, -31.0),CAV,0,178.1624,155.8482,0
47,(221.5, 7.3, 212.5),(112.9, 7.3, 210.8),NonCAV,0,54.98373,55.23648,0
48,(-17.9, 7.3, 103.6),(110.4, 7.3, 205.8),NonCAV,0,218.6066,185.131,0
49,(-154.0, 7.3, -109.0),(-23.3, 7.3, -41.7),NonCAV,0,69.352,64.37646,0
50,(42.0, 7.3, -239.2),(-72.7, 7.3, -47.7),CAV,1,157.6304,0,0
51,(-98.2, 7.3, -87.1),(-146.8, 7.3, -54.6),NonCAV,0,55.28456,54.12377,0
52,(219.1, 7.3, -202.0),(-72.7, 7.3, -47.7),CAV,0,346.6909,345.2866,0
53,(66.6, 7.3, -205.2),(-23.4, 7.3, -34.9),NonCAV,0,142.5732,141.6564,0
54,(58.9, 7.3, -255.5),(96.2, 7.3, -174.1),CAV,0,59.05998,54.41463,0
55,(-7.9, 7.3, 73.4),(-10.6, 7.3, -29.0),CAV,0,0,0,0,0
56,(-153.8, 7.3, -90.1),(-21.8, 7.3, 229.3),CAV,0,201.4993,203.1675,0
57,(-96.8, 7.3, -87.4),(110.4, 7.3, 205.8),NonCAV,0,192.946,197.0485,0
58,(109.3, 7.3, -89.3),(98.5, 7.3, -20.7),NonCAV,0,0,0,0,0
59,(-111.3, 7.3, -46.3),(-147.0, 7.3, -42.6),NonCAV,0,316.4778,348.8182,0
60,(-7.1, 7.3, -45.3),(-24.5, 7.3, -147.7),CAV,0,53.67398,56.98979,0
61,(-90.4, 7.3, -66.3),(-0.3, 7.3, 225.0),NonCAV,0,259.1052,256.8897,0
62,(-85.1, 7.3, -67.9),(-4.2, 7.3, 210.1),NonCAV,0,186.9548,202.8131,0
63,(1.4, 7.3, -207.2),(38.1, 7.3, -233.3),NonCAV,0,69.4252,52.74297,0
64,(-112.9, 7.3, -51.8),(-21.2, 7.3, -30.6),NonCAV,0,247.4508,246.5757,0
65,(-7.1, 7.3, -45.2),(-4.9, 7.3, -53.5),NonCAV,0,0,0,0,0
66,(-42.7, 7.3, -44.0),(-147.0, 7.3, -42.6),CAV,0,268.1069,304.4715,0
67,(76.4, 7.3, -205.8),(-95.3, 7.3, -87.8),CAV,0,167.061,168.7783,0
68,(58.1, 7.3, -255.9),(-47.5, 7.3, -197.4),NonCAV,0,81.05117,80.18008,0
69,(-141.3, 7.3, -73.2),(-10.6, 7.3, -29.0),CAV,0,57.94588,57.39093,0
70,(158.7, 7.3, -191.5),(-17.7, 7.3, -59.6),CAV,0,368.3819,367.2003,0
71,(174.9, 7.3, 208.6),(95.2, 7.3, -23.6),NonCAV,0,288.9371,287.9105,0
72,(14.0, 7.3, -223.2),(-7.6, 7.3, -38.8),CAV,0,140.8925,144.8066,0
73,(-87.9, 7.3, -73.2),(-141.0, 7.3, -195.2),CAV,0,182.2596,195.973,0
74,(-37.3, 7.3, -43.4),(-75.8, 7.3, -217.3),CAV,0,111.6331,108.5618,0
75,(-93.5, 7.3, -72.2),(102.0, 7.3, -178.9),NonCAV,0,199.6156,194.3262,0
76,(61.3, 7.3, -32.4),(-21.8, 7.3, 229.3),CAV,0,165.7444,163.6376,0
77,(83.8, 7.3, -187.1),(-71.9, 7.3, -42.8),NonCAV,0,176.5595,170.8125,0
78,(-67.1, 7.3, 229.1),(108.7, 7.3, -31.0),NonCAV,0,370.9387,346.3954,0
79,(70.6, 7.3, -201.0),(-20.8, 7.3, 217.7),NonCAV,0,361.2267,375.4776,0
80,(-37.9, 7.3, -164.6),(-15.4, 7.3, 211.0),CAV,0,192.828,191.4653,0
81,(30.2, 7.3, -238.8),(-92.1, 7.3, -221.8),NonCAV,0,101.5499,100.8335,0
82,(213.2, 7.3, 220.6),(-101.0, 7.3, -86.3),NonCAV,0,239.2561,238.0768,0
83,(-72.5, 7.3, 229.1),(-134.3, 7.3, -48.5),CAV,0,205.772,197.7299,0
84,(144.5, 7.3, 209.7),(-72.7, 7.3, -47.7),NonCAV,0,362.4517,361.0589,0
85,(-19.2, 7.3, -49.3),(-82.7, 7.3, -51.6),NonCAV,0,179.8387,171.1027,0
86,(109.3, 7.3, 50.9),(-72.7, 7.3, -47.7),CAV,0,234.2632,231.5928,0
87,(42.6, 7.3, -238.8),(-84.9, 7.3, -43.9),CAV,0,149.0598,147.8632,0
88,(222.0, 7.3, -94.1),(50.7, 7.3, -222.0),NonCAV,0,291.8628,282.1747,0
89,(-12.3, 7.3, -212.1),(95.3, 7.3, -29.3),NonCAV,0,209.3575,194.0415,0
90,(-65.1, 7.3, 229.1),(-138.1, 7.3, -44.7),NonCAV,0,157.7951,156.6416,0
91,(222.4, 7.3, 28.4),(-72.7, 7.3, -47.7),NonCAV,0,272.8528,272.3273,0
92,(3.5, 7.3, -208.0),(38.1, 7.3, -233.3),NonCAV,0,86.53609,72.9332,0
