ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed,
0,(54.4,7.3, 104.3),(-73.0,7.3, 205.3),CAV,1,31471,19304,0,
1,(-12.2,7.3, -152.6),(-14.9,7.3, 84.3),NonCAV,0,8478,8478,6992,
2,(-67.1,7.3, 164.6),(-24.0,7.3, -107.0),NonCAV,0,19475,21899,0,
3,(-53.8,7.3, 129.5),(-180.8,7.3, 101.1),NonCAV,0,23216,18383,0,
4,(-12.8,7.3, -151.2),(-24.0,7.3, -107.0),CAV,0,0,0,0,0
5,(186.6,7.3, 37.7),(-21.0,7.3, -115.0),CAV,0,11780,11780,10081,
6,(-29.7,7.3, -1.7),(-17.8,7.3, 76.0),CAV,0,8681,8681,6787,
7,(-25.8,7.3, -123.5),(-15.6,7.3, 71.4),CAV,0,16414,11324,11976,
8,(87.8,7.3, 31.8),(-31.0,7.3, -109.0),CAV,0,20523,16760,0,
9,(-51.0,7.3, 121.9),(90.0,7.3, 30.0),CAV,0,23907,23907,22390,
10,(145.1,7.3, 75.2),(-24.0,7.3, -107.0),CAV,0,8189,7152,6199,
11,(-57.3,7.3, -47.0),(-56.5,7.3, -39.6),CAV,0,1870,1399,1059,
12,(68.6,7.3, -4.5),(-78.0,7.3, 173.7),NonCAV,0,19156,10401,0,
13,(-107.7,7.3, 36.0),(-60.4,7.3, 151.7),NonCAV,0,7230,7230,5015,
14,(-64.5,7.3, 159.6),(-123.1,7.3, 8.8),NonCAV,0,20738,16945,0,
15,(-53.8,7.3, 129.5),(-52.5,7.3, -55.0),NonCAV,0,0,0,0,0
16,(-130.4,7.3, -26.4),(-17.8,7.3, 76.0),CAV,0,9811,9811,6973,
17,(-52.4,7.3, -31.5),(-52.1,7.3, -61.9),NonCAV,0,4655,3840,3021,
18,(-9.8,7.3, -167.0),(-13.6,7.3, -163.7),CAV,0,1238,762,2620,
19,(-60.6,7.3, 140.9),(94.3,7.3, 27.1),CAV,0,14849,17911,0,
20,(-8.0,7.3, 75.0),(-44.0,7.3, 127.1),CAV,0,0,0,0,
21,(-105.0,7.3, 174.3),(-9.4,7.3, -158.8),CAV,1,0,0,0,
22,(-51.8,7.3, -50.2),(-134.9,7.3, -38.0),CAV,0,14465,12962,11306,
23,(-56.5,7.3, -63.6),(90.0,7.3, 30.0),NonCAV,0,12703,12703,12310,
24,(-57.6,7.3, -50.4),(-97.1,7.3, 66.2),CAV,0,15707,12326,10091,
25,(-41.3,7.3, 123.0),(-39.7,7.3, -94.4),NonCAV,0,7688,7688,6888,
26,(-77.2,7.3, 172.0),(-81.2,7.3, 174.7),NonCAV,0,11646,11400,10878,
27,(58.7,7.3, 96.6),(-67.4,7.3, 150.7),NonCAV,0,19562,9542,0,
28,(-8.5,7.3, 65.2),(90.0,7.3, 30.0),NonCAV,0,21763,21763,22807,
29,(-136.1,7.3, -36.4),(49.2,7.3, 100.3),NonCAV,0,14759,10630,11150,
30,(-43.8,7.3, -88.5),(-5.2,7.3, 68.8),NonCAV,0,7233,6260,4975,
31,(163.5,7.3, 47.2),(-58.2,7.3, -56.4),CAV,1,28968,16819,0,
32,(80.2,7.3, 38.7),(-67.4,7.3, 150.7),CAV,0,20722,15051,0,
33,(-3.5,7.3, 70.3),(-17.8,7.3, 76.0),CAV,1,29406,29406,16380,
34,(-19.9,7.3, -130.1),(146.3,7.3, 75.1),NonCAV,0,13032,11357,9846,
35,(-13.5,7.3, -163.8),(-59.8,7.3, 139.6),CAV,0,17971,17971,13563,
36,(-38.0,7.3, 118.2),(-53.8,7.3, 129.5),CAV,0,7578,5833,9516,
37,(-18.7,7.3, -136.3),(-24.0,7.3, -107.0),NonCAV,0,8969,7858,8996,
38,(-10.6,7.3, -156.0),(-21.0,7.3, -115.0),NonCAV,0,1885,1885,1085,
39,(47.8,7.3, 110.2),(-48.4,7.3, 133.4),CAV,0,15216,6004,9117,
40,(-16.6,7.3, 29.9),(-32.1,7.3, 8.3),NonCAV,0,3432,3120,2086,
41,(-137.0,7.3, -28.0),(94.3,7.3, 27.1),CAV,0,22762,20154,0,
42,(-16.6,7.3, 73.5),(-73.8,7.3, 181.6),NonCAV,0,20364,17366,0,
43,(94.3,7.3, 27.1),(-60.4,7.3, 151.7),NonCAV,1,30710,30710,0,
44,(135.8,7.3, 68.5),(-10.3,7.3, 75.8),CAV,1,26368,13814,0,
45,(94.3,7.3, 27.1),(-67.4,7.3, 150.7),NonCAV,0,0,0,0,0
46,(-25.6,7.3, 24.0),(-31.0,7.3, -109.0),CAV,0,4208,3389,2622,
47,(98.0,7.3, 38.0),(80.0,7.3, 38.8),NonCAV,1,31686,31686,21952,
48,(-45.9,7.3, -74.7),(-129.4,7.3, -14.0),NonCAV,0,16930,14668,12740,
49,(-8.0,7.3, 75.0),(-48.4,7.3, 133.4),NonCAV,0,0,0,0,0
,,,,,,,,,735603,568332,,
