ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-112.8, 7.3, -143.0),(-11.5, 7.3, -130.0),CAV,0,225.5918,177.8519,0
1,(-91.2, 7.3, -132.6),(-93.4, 7.3, 4.2),CAV,0,67.85651,106.3993,0
2,(-87.2, 7.3, -137.6),(-95.5, 7.3, -75.7),NonCAV,0,147.0359,120.1309,0
3,(-117.3, 7.3, 10.1),(-66.6, 7.3, -140.1),NonCAV,0,111.7463,125.142,0
4,(-71.8, 7.3, -144.3),(-52.7, 7.3, 4.5),NonCAV,0,81.04256,83.22889,0
5,(-7.5, 7.3, -132.3),(-95.5, 7.3, -75.7),CAV,0,102.1723,102.1594,0
6,(-51.7, 7.3, -106.4),(-66.6, 7.3, -140.1),NonCAV,0,17.98508,17.99458,0
7,(-96.8, 7.3, -119.8),(-87.6, 7.3, 5.2),CAV,0,55.9528,55.98259,0
8,(-73.2, 7.3, -147.8),(-122.7, 7.3, -94.6),NonCAV,0,134.1183,101.1434,0
9,(-29.0, 7.3, 8.0),(-137.7, 7.3, 6.3),NonCAV,0,119.9385,115.7164,0
10,(-94.7, 7.3, -44.1),(-52.5, 7.3, 7.8),CAV,0,80.25764,112.0471,0
11,(-143.9, 7.3, -94.6),(-119.8, 7.3, -140.9),NonCAV,0,74.18445,84.15654,0
12,(-86.4, 7.3, -134.3),(-118.0, 7.3, -82.6),NonCAV,0,49.68307,50.99242,0
13,(-139.0, 7.3, -129.7),(-52.5, 7.3, -123.1),NonCAV,0,44.57263,49.26326,0
14,(-141.0, 7.3, -97.0),(-51.7, 7.3, -76.2),NonCAV,0,50.52296,61.94592,0
15,(-140.7, 7.3, -95.6),(-106.9, 7.3, -130.7),NonCAV,0,59.39111,71.22827,0
16,(-47.7, 7.3, -39.6),(-87.9, 7.3, 8.8),CAV,0,32.7779,38.33609,0
17,(-108.9, 7.3, -80.7),(-100.1, 7.3, -147.6),CAV,0,46.05503,43.94533,0
18,(-133.4, 7.3, -149.0),(-69.2, 7.3, -138.9),CAV,0,53.46998,50.50864,0
19,(-6.3, 7.3, -59.8),(-11.5, 7.3, -130.0),CAV,0,114.1011,114.0744,0
20,(-138.1, 7.3, -51.1),(-87.9, 7.3, 8.8),NonCAV,0,73.51784,73.49245,0
21,(-76.6, 7.3, -77.2),(-90.5, 7.3, -78.4),NonCAV,0,0,0,0,0
22,(-88.7, 7.3, -137.0),(-46.4, 7.3, 4.1),NonCAV,0,68.26983,68.27563,0
23,(-90.2, 7.3, -81.1),(-118.1, 7.3, -141.0),CAV,0,46.70819,47.97999,0
24,(-22.4, 7.3, 3.4),(-50.4, 7.3, -124.7),CAV,0,101.6041,105.6911,0
25,(-94.7, 7.3, -45.1),(-118.0, 7.3, -82.6),CAV,0,31.25414,34.42334,0
26,(-21.8, 7.3, 3.3),(-95.5, 7.3, -75.7),CAV,0,169.0596,211.7073,0
27,(-24.5, 7.3, 8.0),(-52.5, 7.3, -123.1),NonCAV,0,53.15339,83.80978,0
28,(-71.7, 7.3, -144.2),(-122.7, 7.3, -94.6),CAV,0,117.1244,76.18073,0
29,(-144.5, 7.3, -101.5),(-89.5, 7.3, -83.2),NonCAV,0,124.7395,87.96205,0
30,(-112.1, 7.3, -130.7),(-46.4, 7.3, 4.1),NonCAV,0,148.9636,86.51553,0
31,(-9.8, 7.3, 7.4),(-119.3, 7.3, -136.1),CAV,0,109.3054,94.46252,0
32,(-111.4, 7.3, 6.3),(-87.9, 7.3, 8.8),CAV,0,40.02879,39.97285,0
33,(-95.0, 7.3, -94.7),(-115.5, 7.3, -137.4),CAV,0,24.16236,24.17587,0
34,(-6.3, 7.3, -59.3),(-92.5, 7.3, -114.9),NonCAV,0,135.7749,113.829,0
35,(-97.3, 7.3, -120.3),(-118.0, 7.3, -82.6),NonCAV,0,32.19639,32.18886,0
36,(-25.8, 7.3, -129.9),(-141.6, 7.3, -79.6),CAV,0,125.9749,138.065,0
37,(-124.2, 7.3, -94.2),(-105.1, 7.3, -130.8),CAV,0,40.20376,55.8089,0
38,(-6.4, 7.3, 3.9),(-50.4, 7.3, -124.7),CAV,0,78.97227,81.69225,0
39,(-119.3, 7.3, -88.6),(-95.7, 7.3, 10.2),CAV,0,74.49583,71.74799,0
40,(-141.6, 7.3, -41.3),(-134.3, 7.3, -148.5),NonCAV,0,68.2014,68.19583,0
41,(-85.5, 7.3, -134.6),(-51.7, 7.3, -72.4),CAV,0,172.2744,114.0973,0
42,(-9.0, 7.3, -133.4),(-65.4, 7.3, -149.6),CAV,0,121.4412,120.9194,0
43,(-139.7, 7.3, -90.9),(-47.3, 7.3, 2.4),CAV,0,128.8013,132.3419,0
44,(-59.1, 7.3, -132.9),(-89.3, 7.3, 3.9),NonCAV,0,81.1731,69.88831,0
45,(-36.7, 7.3, 7.9),(-93.4, 7.3, 4.2),NonCAV,0,23.85685,23.85883,0
46,(-117.8, 7.3, -86.0),(-122.7, 7.3, -94.6),NonCAV,0,9.478188,9.497059,0
47,(-141.6, 7.3, -57.0),(-141.5, 7.3, -83.6),NonCAV,0,8.572402,8.575945,0
48,(-51.7, 7.3, -92.6),(-52.8, 7.3, -75.2),NonCAV,0,138.3613,105.6932,0
49,(-8.2, 7.3, -132.8),(-118.8, 7.3, -80.1),NonCAV,0,117.4058,119.1543,0
