ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,22.65881,21.28029,0
1,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,23.14521,21.60999,0
2,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,23.28306,26.41403,0
3,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,23.4216,26.5358,0
4,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,23.44082,26.73549,0
5,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,23.56742,26.71351,0
6,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,23.61733,21.81526,0
7,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,23.72134,21.79566,0
8,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,23.84268,21.63597,0
9,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,23.94044,21.61337,0
10,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.11954,21.62998,0
11,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.20267,21.65476,0
12,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,24.23138,26.49301,0
13,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),NonCAV,0,24.27784,26.5541,0
14,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.33804,26.73369,0
15,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.47762,28.15541,0
16,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.53398,21.79142,0
17,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.62021,21.64835,0
18,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.68069,24.21335,0
19,(-2.1, 1.2, -25.4),(-2.8, 0.0, 43.1),CAV,0,24.73811,23.15705,0
