ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,23.85501,28.97143,29.12516
1,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,31.20585,32.37191,32.06275
2,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,31.2967,27.32421,27.48119
3,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,37.78806,28.11335,29.74301
4,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,37.86572,27.51854,29.47532
5,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,44.28367,27.46991,29.47833
6,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,44.37683,27.38322,29.48701
7,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,50.75344,27.33879,29.47393
8,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,50.86642,29.37605,29.52539
9,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,50.96641,25.05411,30.80693
10,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,56.56409,29.30961,31.28067
11,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,55.08706,29.69063,28.97224
12,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,60.3782,27.30929,28.541
13,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,54.18088,26.78737,28.57427
14,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,60.00806,26.72985,28.64981
15,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,53.63922,26.67408,28.72595
16,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,59.89907,26.55123,31.22195
17,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,54.68281,29.05596,26.77962
18,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,60.38875,24.88824,29.13859
19,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,54.91623,26.71181,31.22299
