ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,23.85724,22.41876,23.84889
1,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,24.55701,23.10891,24.60006
2,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,24.67006,25.84975,0
3,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,24.7372,26.65203,0
4,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.8655,27.53482,0
5,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,24.96215,25.49517,0
6,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.02053,25.50819,0
7,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.10427,25.49418,0
8,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.15645,25.45314,0
9,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.22304,25.43541,0
10,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.28599,28.11098,0
11,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.41424,28.95545,0
12,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.46377,29.85348,0
13,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.52034,29.97429,0
14,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,25.66094,30.21539,0
15,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.77461,30.27532,0
16,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.92343,30.23364,0
17,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,25.96124,30.1143,0
18,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),CAV,0,26.07965,30.4982,0
19,(-1.2, 0.0, -23.5),(-3.2, 0.0, 42.3),NonCAV,0,26.20118,31.17549,0
