ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-15.7, 1.5, -39.6),(-15.8, 1.5, 38.8),CAV,0,0
1,(-40.9, 1.5, -39.5),(-13.1, 1.5, -15.2),NonCAV,0,0
2,(-15.0, 1.5, 13.7),(-11.4, 1.5, -11.6),NonCAV,0,0
3,(-11.3, 1.5, -13.6),(23.1, 1.5, -37.8),CAV,0,0
4,(20.4, 1.5, -39.8),(-15.0, 1.5, 13.7),CAV,0,0
5,(-41.0, 1.5, -10.3),(-41.0, 1.5, -10.3),NonCAV,0,0
6,(22.9, 1.5, 17.9),(-40.9, 1.5, 38.5),CAV,0,0
7,(21.1, 1.5, 36.8),(-11.8, 1.5, -39.7),CAV,0,0
8,(41.7, 1.5, -39.5),(-15.0, 1.5, 13.7),CAV,0,0
9,(-41.3, 1.5, 26.3),(-15.0, 1.5, 13.7),CAV,0,0
