ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(0.9, 1.5, -41.8),(-11.6, 1.5, 38.9),NonCAV,0,88.52732,98.98053,0
1,(-1.7, 1.5, -11.6),(22.9, 1.5, 17.9),NonCAV,0,42.69867,37.70853,0
2,(10.2, 1.5, -11.6),(-12.0, 1.5, 16.7),CAV,0,106.6175,124.0242,0
3,(23.2, 1.5, -31.7),(-11.8, 1.5, -39.7),CAV,0,65.95947,121.6205,0
4,(-15.0, 1.5, 6.4),(23.7, 1.5, -39.6),CAV,0,121.6866,124.2793,0
5,(-41.1, 1.5, 6.7),(23.2, 1.5, -10.2),CAV,0,97.73737,100.1047,0
6,(-40.9, 1.5, -31.7),(-43.0, 1.5, 26.2),CAV,0,122.6214,119.0336,0
7,(22.9, 1.5, 23.8),(23.8, 1.5, 16.7),NonCAV,0,41.04723,85.54388,0
8,(23.3, 1.5, -21.5),(-41.3, 1.5, 26.3),NonCAV,0,46.13131,39.18998,0
9,(-43.0, 1.5, -1.3),(24.0, 1.5, -41.9),NonCAV,0,46.94474,47.36794,0
10,(21.1, 1.5, 24.4),(-15.0, 1.4, 17.8),CAV,0,81.98654,89.94733,0
11,(36.8, 1.5, -39.5),(-12.8, 1.5, -37.8),CAV,0,20.71447,20.72854,0
12,(-35.7, 1.5, 40.5),(23.4, 1.5, -14.9),CAV,0,120.4713,137.2523,0
13,(-13.0, 1.5, -26.3),(41.7, 1.5, -39.5),NonCAV,0,65.67335,96.18646,0
14,(-43.1, 1.5, -30.7),(41.7, 1.5, -39.5),CAV,0,92.68431,128.4048,0
15,(-15.0, 1.5, -27.6),(44.0, 1.5, 17.8),NonCAV,0,85.32314,114.6576,0
16,(12.1, 1.5, -39.8),(23.1, 1.5, 13.5),NonCAV,0,49.69769,51.12644,0
17,(32.6, 1.5, 16.7),(21.1, 1.5, -10.4),NonCAV,0,18.00867,14.63693,0
18,(32.3, 1.5, 40.5),(23.7, 1.5, -39.6),NonCAV,0,145.2439,164.139,0
19,(21.1, 1.5, -29.4),(-41.2, 1.5, 21.9),NonCAV,0,57.3093,57.86223,0
20,(-32.2, 1.5, -39.5),(19.7, 1.5, -13.7),CAV,0,38.38936,36.3851,0
21,(21.1, 1.5, 27.7),(20.4, 1.5, -39.8),NonCAV,0,24.69606,24.68451,0
22,(23.2, 1.5, -29.9),(21.1, 1.5, -14.9),NonCAV,0,58.85585,109.0309,0
23,(-12.7, 1.4, 26.8),(-41.2, 1.5, 21.9),NonCAV,0,92.79099,83.4621,0
24,(-0.9, 1.5, -41.8),(-11.4, 1.5, -11.6),NonCAV,0,88.6373,99.02005,0
25,(21.1, 1.5, 5.0),(-11.6, 1.5, 38.9),CAV,0,66.05828,166.3433,0
26,(29.5, 1.5, -39.6),(19.8, 1.5, 40.3),NonCAV,0,49.9818,62.48304,0
27,(6.5, 1.5, -39.7),(23.2, 1.5, -10.2),NonCAV,0,46.76372,37.49076,0
28,(23.3, 1.5, -27.5),(19.8, 1.5, 40.3),NonCAV,0,43.74593,53.64069,0
29,(33.9, 1.5, -39.5),(19.9, 1.5, 14.7),NonCAV,0,72.17386,78.06773,0
30,(23.3, 1.5, -23.8),(-11.3, 1.5, -13.6),CAV,0,71.51853,98.098,0
31,(21.1, 1.5, 27.1),(39.4, 1.5, 16.7),NonCAV,0,62.86745,115.0491,0
32,(7.9, 1.5, -13.7),(19.8, 1.5, 40.3),NonCAV,0,53.95966,74.893,0
33,(-31.3, 1.5, -39.5),(39.4, 1.5, 16.7),CAV,0,71.16724,91.71657,0
34,(6.8, 1.5, -11.6),(41.7, 1.5, -39.5),CAV,0,72.94346,73.04442,0
35,(-23.2, 1.5, -11.7),(20.5, 1.5, 38.7),CAV,0,50.88982,43.56435,0
36,(30.2, 1.5, -39.5),(23.1, 1.5, -37.8),CAV,0,6.799607,7.098186,0
37,(-15.0, 1.5, -23.9),(39.4, 1.5, 16.7),CAV,0,92.69236,135.1762,0
38,(0.4, 1.5, -11.6),(20.4, 1.5, -39.8),CAV,0,73.49654,68.93941,0
39,(30.3, 1.5, 38.6),(-15.0, 1.5, 13.7),NonCAV,0,47.40453,43.7047,0
40,(44.0, 1.5, 27.8),(21.1, 1.5, -10.4),NonCAV,0,130.5363,140.9518,0
41,(-36.1, 1.5, -41.4),(-40.9, 1.5, -39.5),NonCAV,0,79.69153,69.95551,0
42,(-27.6, 1.5, -41.5),(-11.7, 1.5, -41.7),CAV,0,5.408388,5.414241,0
43,(-26.7, 1.5, -39.5),(-11.7, 1.5, -41.7),CAV,0,102.1704,112.6309,0
44,(30.9, 1.5, 38.6),(-15.2, 1.4, 37.0),NonCAV,0,95.48196,93.71493,0
45,(-33.2, 1.5, -41.4),(-13.1, 1.5, -15.2),NonCAV,0,17.06876,25.83146,0
46,(36.1, 1.5, 38.6),(24.0, 1.5, -41.9),CAV,0,102.4952,132.3096,0
47,(-15.1, 1.4, 25.4),(-11.6, 1.5, 38.9),NonCAV,0,65.43462,94.01457,0
48,(6.9, 1.5, -41.9),(22.8, 1.5, 37.2),CAV,0,62.64962,91.28989,0
49,(-30.9, 1.5, 38.6),(21.1, 1.5, -14.9),NonCAV,0,46.16685,40.75039,0
