ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,5,86
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,7,34
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,8,42
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,10,50
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,12,75
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,13,66
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,15,85
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,16,12
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,18,20
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,24,68
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,25,87
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,31,83
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,33,38
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,34,5
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,43,90
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,45,58
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,46,61
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,48,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,53,77
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,55,76
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,58,10
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,60,10
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,61,75
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,62,0
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,68,34
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,69,85
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,81,95
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,87,91
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,88,54
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,89,70
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,92,6
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,96,9
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,97,47
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,104,84
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,108,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,110,6
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,112,92
