ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(43.2, 1.5, -41.7),(-11.6, 1.5, 38.9),NonCAV,0,0
1,(19.8, 1.5, 16.5),(41.7, 1.5, -39.5),NonCAV,17951,0
2,(42.9, 1.5, 40.1),(-16.6, 1.5, -11.8),NonCAV,38266,0
3,(-39.5, 1.5, -13.6),(-41.0, 1.5, -10.3),NonCAV,12521,0
4,(19.8, 1.5, 40.3),(-11.3, 1.5, -13.6),CAV,13442,0
5,(-15.7, 1.5, -39.6),(23.2, 1.5, -10.2),NonCAV,12812,0
6,(23.2, 1.5, -10.2),(-41.0, 1.5, -14.6),CAV,0,0
7,(41.0, 1.5, 13.4),(-11.6, 1.5, 38.9),NonCAV,21142,0
8,(43.2, 1.5, -41.7),(-41.3, 1.5, 26.3),NonCAV,0,0
9,(42.9, 1.5, 40.1),(-16.4, 1.5, -13.7),NonCAV,0,0
