ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(21.1, 1.5, 36.8),(-16.6, 1.5, -11.8),NonCAV,0,0
1,(-13.1, 1.5, -10.1),(23.1, 1.5, -37.8),CAV,0,0
2,(39.4, 1.5, 16.7),(-16.4, 1.5, -13.7),NonCAV,0,0
3,(39.4, 1.5, 16.7),(-41.3, 1.5, 26.3),CAV,0,0
4,(-12.6, 1.3, 17.9),(-11.6, 1.5, 38.9),NonCAV,0,0
5,(19.8, 1.5, 16.5),(-15.0, 1.5, 13.7),NonCAV,0,0
6,(-11.7, 1.5, -41.7),(-15.0, 1.5, 13.7),CAV,0,0
7,(23.2, 1.5, -10.2),(23.4, 1.5, -14.9),NonCAV,0,0
8,(19.8, 1.5, -11.6),(-11.4, 1.5, -11.6),NonCAV,0,0
9,(-42.8, 1.5, 22.4),(-16.6, 1.5, -11.8),NonCAV,0,0
10,(19.8, 1.5, 40.3),(-40.9, 1.5, -39.5),NonCAV,0,0
11,(-15.7, 1.5, -39.6),(-11.8, 1.5, -39.7),CAV,0,0
12,(21.1, 1.5, 36.8),(-41.0, 1.5, -10.3),NonCAV,0,0
13,(-39.5, 1.5, -13.6),(41.0, 1.5, 13.4),CAV,0,0
14,(-12.8, 1.5, -37.8),(-40.9, 1.5, 38.5),NonCAV,0,0
15,(-42.8, 1.5, 22.4),(23.1, 1.5, -37.8),NonCAV,0,0
16,(40.6, 1.5, 38.6),(-40.9, 1.5, -39.5),NonCAV,0,0
17,(24.6, 1.5, 38.6),(-41.0, 1.5, -10.3),CAV,0,0
18,(41.0, 1.5, 13.4),(-13.1, 1.5, -15.2),CAV,0,0
19,(24.8, 1.5, 14.5),(23.1, 1.5, 13.5),NonCAV,0,0
