ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(23.3, 1.5, -27.6),(39.8, 1.5, 14.4),NonCAV,0,35.65248,35.13253,32.62384
1,(-23.0, 1.5, -39.6),(19.8, 1.5, -11.6),CAV,0,83.72947,126.788,86.58406
2,(42.9, 1.5, 26.6),(-15.0, 1.5, -15.2),CAV,0,126.7515,147.5914,83.17196
3,(6.7, 1.5, -13.7),(24.0, 1.5, -41.9),CAV,1,201.0403,142.6871,0
4,(-41.1, 1.5, 13.2),(-11.3, 1.5, -13.6),CAV,0,110.1733,125.2873,87.75701
5,(-40.9, 1.5, -32.7),(-13.1, 1.5, -15.2),CAV,0,80.99857,75.77904,73.68037
6,(21.1, 1.5, 30.9),(-39.5, 1.5, -13.6),CAV,0,73.94904,81.69066,67.00855
7,(-23.6, 1.5, 40.5),(20.5, 1.5, 38.7),NonCAV,0,140.8789,131.9736,127.1554
8,(8.0, 1.5, -41.9),(-40.9, 1.5, 38.5),NonCAV,0,117.4472,210.7114,133.2374
9,(32.8, 1.5, 16.7),(19.8, 1.5, -11.6),CAV,0,17.25716,17.26524,17.24554
10,(9.4, 1.5, -39.8),(-15.0, 1.5, -15.2),NonCAV,0,45.40641,57.36663,50.3739
11,(-42.7, 1.5, 36.1),(-13.1, 1.5, -10.1),NonCAV,0,50.1685,53.8405,51.37021
12,(-28.2, 1.5, 40.5),(40.8, 1.5, 17.4),CAV,0,101.6785,148.1157,0
13,(4.2, 1.5, -39.7),(-13.1, 1.5, -10.1),NonCAV,0,20.63163,27.30599,25.14783
14,(43.1, 1.5, -23.6),(-12.0, 1.5, 16.7),NonCAV,0,40.74779,40.76352,40.73949
15,(-13.0, 1.5, -21.9),(-43.1, 1.5, -41.3),CAV,0,103.3179,202.8681,84.76894
16,(41.4, 1.5, -10.0),(23.1, 1.5, 13.5),CAV,0,41.11618,40.01049,37.50517
17,(43.0, 1.5, -7.9),(23.1, 1.5, 13.5),CAV,0,105.1131,99.87234,97.7011
18,(-33.9, 1.5, 40.5),(-43.1, 1.5, -41.3),CAV,0,32.74908,32.74067,32.75549
19,(-13.0, 1.5, -1.2),(42.9, 1.5, 17.8),CAV,0,32.63005,27.50007,27.63211
20,(-43.1, 1.5, -24.2),(-39.5, 1.5, -13.6),CAV,0,116.2913,95.7029,114.8746
21,(3.9, 1.5, 38.8),(-13.1, 1.5, -15.2),CAV,0,73.67828,80.49557,78.36292
22,(-12.7, 1.4, 24.0),(22.9, 1.5, 17.9),CAV,0,50.05192,64.5276,61.07224
23,(-1.3, 1.5, 14.7),(-16.6, 1.5, -11.8),CAV,0,42.4725,32.84463,32.85518
24,(-3.4, 1.5, 40.4),(40.6, 1.5, 38.6),CAV,1,156.9828,105.6578,0
25,(30.3, 1.5, 38.6),(20.4, 1.5, -39.8),CAV,0,57.72673,49.68642,59.7739
26,(-30.3, 1.5, 40.5),(-15.0, 1.5, 13.7),NonCAV,0,200.706,0,0
27,(-0.2, 1.5, -41.8),(-11.4, 1.5, -11.6),CAV,0,83.63857,90.75412,77.27602
28,(9.7, 1.5, 40.3),(19.9, 1.5, 14.7),NonCAV,0,105.7556,114.4497,112.2248
29,(-15.1, 1.4, 31.1),(-41.0, 1.5, -10.3),NonCAV,0,49.99829,33.84949,40.96945
30,(-15.0, 1.5, -31.9),(-43.1, 1.5, -41.3),NonCAV,0,192.5116,165.1674,105.2112
31,(40.7, 1.5, 28.6),(-11.3, 1.5, 14.7),CAV,0,60.68598,60.46303,74.84911
32,(-27.6, 1.5, -11.7),(-15.0, 1.4, 17.8),CAV,0,54.10428,42.58541,56.91536
33,(-13.0, 1.5, -26.5),(-11.9, 1.5, 40.4),NonCAV,0,96.73411,87.86872,85.71146
34,(-41.1, 1.5, 1.0),(-16.6, 1.5, -11.8),CAV,0,62.54907,126.521,62.73431
35,(40.7, 1.5, 28.7),(-16.4, 1.5, -13.7),NonCAV,0,92.74062,166.9337,98.39747
36,(-41.1, 1.5, 6.2),(-40.9, 1.5, -39.5),CAV,0,81.145,72.2621,70.10717
37,(3.5, 1.5, 14.7),(40.8, 1.5, 17.4),NonCAV,0,41.96286,46.91137,46.76743
38,(42.9, 1.5, 33.8),(23.2, 1.5, -10.2),NonCAV,0,133.8698,127.9112,89.05077
39,(40.8, 1.5, 23.3),(-12.0, 1.5, 16.7),NonCAV,0,32.78145,0,0
40,(35.7, 1.5, -39.5),(-39.5, 1.5, -13.6),CAV,0,43.49271,38.8481,38.83696
41,(30.9, 1.5, 14.4),(-43.0, 1.5, 26.2),NonCAV,0,55.54224,63.3937,61.25936
42,(9.1, 1.5, 38.8),(20.5, 1.5, 38.7),NonCAV,0,13.85958,6.992782,4.076396
43,(34.4, 1.5, -41.8),(21.1, 1.5, -10.4),CAV,0,53.74282,0,0
44,(-27.0, 1.5, -13.6),(-42.8, 1.5, 22.4),CAV,0,136.8712,111.886,109.7101
45,(34.0, 1.5, 14.4),(19.8, 1.5, 40.3),CAV,0,25.20818,32.68753,0
46,(-27.5, 1.5, -39.5),(-11.9, 1.5, 40.4),CAV,0,103.7339,158.8737,124.6959
47,(-15.1, 1.4, 24.0),(-11.6, 1.5, 38.9),CAV,0,91.07174,98.18943,80.0292
48,(-27.3, 1.5, 40.5),(-15.2, 1.4, 37.0),CAV,0,104.2939,109.8666,105.4546
49,(-12.7, 1.4, 25.5),(-15.2, 1.4, 37.0),NonCAV,0,118.4541,156.7253,151.4238
